0,1,job_keyword,Time,Date
37.4062237,-122.0781663,BizOps,19:34,2024-12-30
40.7127753,-74.0059728,BizOps,19:35,2024-12-30
47.6101497,-122.2015159,BizOps,19:35,2024-12-30
38.7450528,-90.724773,BizOps,19:35,2024-12-30
38.7450528,-90.724773,BizOps,19:35,2024-12-30
37.7749295,-122.4194155,BizOps,19:35,2024-12-30
33.8508021,-117.7490656,BizOps,19:36,2024-12-30
38.7450528,-90.724773,BizOps,19:36,2024-12-30
39.8137298,-84.05374479999999,BizOps,19:36,2024-12-30
38.7450528,-90.724773,BizOps,19:36,2024-12-30
37.7749295,-122.4194155,BizOps,19:37,2024-12-30
38.7945952,-106.5348379,BizOps,19:37,2024-12-30
38.7945952,-106.5348379,BizOps,19:37,2024-12-30
34.0549076,-118.242643,BizOps,19:37,2024-12-30
40.7127753,-74.0059728,BizOps,19:37,2024-12-30
40.7127753,-74.0059728,BizOps,19:37,2024-12-30
38.7450528,-90.724773,BizOps,19:38,2024-12-30
47.6101497,-122.2015159,BizOps,19:38,2024-12-30
40.7686973,-73.9918181,BizOps,19:38,2024-12-30
38.7450528,-90.724773,BizOps,19:38,2024-12-30
40.7136487,-74.0087126,BizOps,19:39,2024-12-30
40.7127753,-74.0059728,BizOps,19:39,2024-12-30
37.3900264,-122.0812304,BizOps,19:39,2024-12-30
41.1179797,-80.8875121,BizOps,19:39,2024-12-30
32.715738,-117.1610838,BizOps,19:39,2024-12-30
40.7136487,-74.0087126,BizOps,19:39,2024-12-30
40.7519846,-73.9697795,BizOps,19:40,2024-12-30
32.7965165,-96.5608242,BizOps,19:40,2024-12-30
37.7749295,-122.4194155,BizOps,19:40,2024-12-30
38.7450528,-90.724773,BizOps,19:40,2024-12-30
37.33874,-121.8852525,BizOps,19:40,2024-12-30
33.0243206,-96.6745042,BizOps,19:41,2024-12-30
38.7450528,-90.724773,BizOps,19:41,2024-12-30
40.7136487,-74.0087126,BizOps,19:41,2024-12-30
40.7127753,-74.0059728,BizOps,19:41,2024-12-30
37.3900264,-122.0812304,BizOps,19:41,2024-12-30
41.1179797,-80.8875121,BizOps,19:42,2024-12-30
32.715738,-117.1610838,BizOps,19:42,2024-12-30
40.7136487,-74.0087126,BizOps,19:42,2024-12-30
40.1266689,-82.9318807,BizOps,19:42,2024-12-30
40.7519846,-73.9697795,BizOps,19:42,2024-12-30
32.7965165,-96.5608242,BizOps,19:42,2024-12-30
37.7749295,-122.4194155,BizOps,19:43,2024-12-30
38.7450528,-90.724773,BizOps,19:43,2024-12-30
37.33874,-121.8852525,BizOps,19:43,2024-12-30
33.0243206,-96.6745042,BizOps,19:43,2024-12-30
38.9181671,-78.1944446,BizOps,19:43,2024-12-30
47.6061389,-122.3328481,Developer,19:46,2024-12-30
40.6843079,-74.2531465,Developer,19:46,2024-12-30
47.7510741,-120.7401386,Developer,19:46,2024-12-30
33.6803004,-111.8330106,Developer,19:46,2024-12-30
28.7588833,-81.3178446,Developer,19:47,2024-12-30
39.755543,-105.2210997,Developer,19:47,2024-12-30
40.15731479999999,-76.7927481,Developer,19:47,2024-12-30
44.8727363,-93.1478514,Developer,19:48,2024-12-30
28.3887262,-81.4773294,Developer,19:48,2024-12-30
35.4209352,-97.6656625,Developer,19:48,2024-12-30
44.95464399999999,-93.3847969,Developer,19:48,2024-12-30
38.2746047,-76.4458172,Developer,19:48,2024-12-30
35.5927461,-82.5564559,Developer,19:49,2024-12-30
41.88,-87.64,Developer,19:49,2024-12-30
37.7911148,-122.4021273,Developer,19:49,2024-12-30
37.3229978,-122.0321823,Developer,19:50,2024-12-30
40.7136487,-74.0087126,Developer,19:50,2024-12-30
37.7911148,-122.4021273,Developer,19:50,2024-12-30
37.36883,-122.0363496,Developer,19:51,2024-12-30
40.7127753,-74.0059728,Developer,19:51,2024-12-30
38.8716687,-77.11687529999999,Developer,19:51,2024-12-30
41.2661075,-95.93304549999999,Developer,19:51,2024-12-30
43.1054334,-89.42692869999999,Developer,19:51,2024-12-30
37.9642529,-91.8318334,Developer,19:52,2024-12-30
38.2034582,-76.39845369999999,Developer,19:52,2024-12-30
40.04065060000001,-105.2077798,Developer,19:52,2024-12-30
39.6837226,-75.74965720000002,Developer,19:52,2024-12-30
30.3848991,-84.2291968,Developer,19:52,2024-12-30
42.45723100000001,-71.2766852,Developer,19:52,2024-12-30
33.6041944,-117.8738554,Developer,19:53,2024-12-30
38.912068,-77.0190228,Developer,19:53,2024-12-30
33.8363126,-84.38574419999999,Developer,19:54,2024-12-30
33.8363126,-84.38574419999999,Developer,19:54,2024-12-30
37.33874,-121.8852525,Developer,19:54,2024-12-30
39.7845048,-104.9797753,Developer,19:54,2024-12-30
40.8551026,-74.0189208,Developer,19:54,2024-12-30
41.8925085,-87.61616959999999,Developer,19:54,2024-12-30
38.9695545,-77.3860976,Developer,19:55,2024-12-30
38.2586184,-85.5457689,Developer,19:55,2024-12-30
47.6061389,-122.3328481,Developer,19:55,2024-12-30
21.3098845,-157.8581401,Developer,19:55,2024-12-30
37.5071591,-122.2605222,Developer,19:55,2024-12-30
39.8070121,-82.2970941,Developer,19:56,2024-12-30
37.7911148,-122.4021273,Developer,19:56,2024-12-30
33.8363126,-84.38574419999999,Developer,19:56,2024-12-30
26.3683064,-80.1289321,Developer,19:56,2024-12-30
21.3098845,-157.8581401,Developer,19:56,2024-12-30
30.196311,-97.730807,Developer,19:57,2024-12-30
29.3743552,-98.385532,Developer,19:57,2024-12-30
38.9071923,-77.0368707,Developer,19:57,2024-12-30
37.3813444,-122.1802812,Developer,19:57,2024-12-30
40.2338438,-111.6585337,Developer,19:58,2024-12-30
39.0457549,-76.64127119999999,Developer,19:58,2024-12-30
47.6084921,-122.336407,Developer,19:58,2024-12-30
40.7127753,-74.0059728,Developer,19:58,2024-12-30
37.36883,-122.0363496,Developer,19:58,2024-12-30
43.6590993,-70.2568189,Developer,19:59,2024-12-30
37.36883,-122.0363496,Developer,19:59,2024-12-30
38.7742151,-77.1887747,Developer,19:59,2024-12-30
39.0418129,-77.47444209999999,Developer,19:59,2024-12-30
30.267153,-97.7430608,Machine+Learning,20:01,2024-12-30
40.4966567,-74.4442802,Machine+Learning,20:01,2024-12-30
38.912068,-77.0190228,Machine+Learning,20:01,2024-12-30
41.87848510000001,-87.627893,Machine+Learning,20:02,2024-12-30
40.7443091,-73.9418603,Machine+Learning,20:02,2024-12-30
38.8799697,-77.1067698,Machine+Learning,20:02,2024-12-30
18.4153108,-66.0593509,Machine+Learning,20:03,2024-12-30
27.9263478,-82.5131717,Machine+Learning,20:03,2024-12-30
42.315407,43.35689199999999,Machine+Learning,20:03,2024-12-30
